n_steps,left_score,right_score,win,draw,loss,sap,sbf,mecha,cv,possession_fraction,sap_1st_half,sap_2nd_half,sbf_1st_half,sbf_2nd_half,mecha_1st_half,mecha_2nd_half,cv_1st_half,cv_2nd_half,episode
3000,0,4,0,0,1,45.016666666666666,164.0,0.04552733142962078,0.06073054489126245,0.018333333333333333,40.03333333333333,50.0,80.25,83.75,0.03195091578231137,0.0532852832280833,0.04797507624168253,0.0672734008750859,11
3000,0,2,0,0,1,52.49166666666667,148.0,0.051385628495737454,0.045255443617406306,0.041,52.016666666666666,52.96666666666666,74.25,73.75,0.036934091357464796,0.07111753497299433,0.040707762494242884,0.03172459151593859,12
3000,0,4,0,0,1,48.94166666666667,143.25,0.028495012965223693,0.07752053958451799,0.05466666666666667,46.78333333333333,51.1,74.75,68.5,0.01905655545869507,0.040858062938564,0.05623441047909856,0.08574063007435334,13
3000,0,1,0,0,1,47.766666666666666,147.25,0.043691236286341334,0.052411539200361075,0.03333333333333333,49.983333333333334,45.550000000000004,75.0,72.25,0.03854721227460532,0.05109361230322973,0.048669984924203845,0.05592107594002037,14
3000,0,3,0,0,1,46.275,162.5,0.056020007456240674,0.03411372396270533,0.036,46.400000000000006,46.150000000000006,81.75,80.75,0.061378185897884525,0.041423590322107434,0.02198102661061884,0.04483908717211661,15
3000,0,2,0,0,1,51.7,168.25,0.06607617285934587,0.03851206146070506,0.019333333333333334,53.98333333333334,49.416666666666664,83.0,85.25,0.06474946555329013,0.0685969167408518,0.014062820321626264,0.041924778258693764,16
3000,0,6,0,0,1,53.2,164.25,0.04536197741611184,0.054523971452836134,0.031,55.81666666666667,50.583333333333336,87.0,77.25,0.04332074825766755,0.050351648692308966,0.06539546164325764,0.03931934863234135,17
3000,0,4,0,0,1,51.225,161.5,0.030391268380575393,0.0637037708351,0.043666666666666666,53.733333333333334,48.71666666666667,80.0,81.5,0.020586169170160293,0.044372613550982126,0.06581785283342628,0.05400794944790158,18
3000,0,5,0,0,1,50.33333333333333,156.25,0.07326365587835867,0.0637264013381979,0.006666666666666667,50.5,50.16666666666667,78.5,77.75,0.0746349001701229,0.06092245725248057,0.06437271897260008,0.06271482916811007,19
3000,0,3,0,0,1,49.65833333333333,163.75,0.05173325544437966,0.07234852634870706,0.036333333333333336,51.76666666666667,47.55,83.25,80.25,0.04828149823617719,0.055000097087857025,0.05271675834112137,0.0695147929526719,20
3000,0,1,0,0,1,47.15833333333334,159.0,0.03809023427866849,0.027964771590793594,0.026,49.4,44.916666666666664,81.25,77.75,0.0383720648322663,0.0377935705380392,0.01924823712796899,0.02984781121815749,21
3000,0,3,0,0,1,49.875,154.25,0.04058655677569787,0.05052276137990573,0.025666666666666667,52.349999999999994,47.4,77.25,77.0,0.06236037771944069,0.030118373629667662,0.03080237495079864,0.06665973590272356,22
3000,0,3,0,0,1,52.041666666666664,149.5,0.058629270147949636,0.039771726556388574,0.025333333333333333,51.11666666666667,52.96666666666666,68.0,81.5,0.05390624374710853,0.06287999390870663,0.03187727787623674,0.040060173880930944,23
3000,0,3,0,0,1,49.666666666666664,156.25,0.0646716597457852,0.06403206458063466,0.019,49.31666666666666,50.016666666666666,76.75,79.5,0.06615077553437008,0.061466908870517964,0.08455195553339037,0.04170158491049567,24
3000,0,2,0,0,1,49.025,154.25,0.08126946493711998,0.045750511745956325,0.030333333333333334,49.55,48.5,76.75,77.5,0.14067504669212066,0.05057658103036963,0.038007326016209486,0.03465865846523995,25
3000,0,1,0,0,1,51.366666666666674,168.0,0.047368798746533936,0.05878208192419722,0.008666666666666666,51.11666666666667,51.61666666666667,85.25,82.75,0.047368798746533936,0.0,0.07707982400430134,0.014206820028503233,26
3000,0,2,0,0,1,52.05,146.75,0.039450546561209394,0.04223934934842027,0.022,55.06666666666666,49.03333333333333,77.25,69.25,0.04754817251600178,0.028460911336848277,0.037480647776780444,0.04058139603022245,27
