n_steps,left_score,right_score,win,draw,loss,sap,sbf,mecha,cv,possession_fraction,sap_1st_half,sap_2nd_half,sbf_1st_half,sbf_2nd_half,mecha_1st_half,mecha_2nd_half,cv_1st_half,cv_2nd_half,episode
3000,0,4,0,0,1,49.475,158.0,0.07148030311351228,0.06269800398071843,0.03333333333333333,50.583333333333336,48.36666666666667,77.25,80.75,0.08103162985299274,0.05022089843531381,0.05490337282347103,0.05973363770295741,18
3000,0,2,0,0,1,50.24166666666666,152.5,0.07474778486718138,0.05589656847839338,0.012,48.983333333333334,51.5,74.75,77.75,0.10319739547749052,0.06222995619864536,0.03665724308739404,0.03169092593377511,19
3000,0,2,0,0,1,49.19166666666667,162.25,0.04693755297055079,0.04519569181919659,0.015333333333333332,46.96666666666667,51.416666666666664,80.75,81.5,0.05059936542571193,0.045495020791244914,0.04479396562418798,0.03808995552550027,20
3000,0,6,0,0,1,46.74166666666667,141.0,0.04057916793605075,0.06444725498655776,0.035,47.56666666666667,45.916666666666664,64.5,76.5,0.056516290027567494,0.03190749856272546,0.05579374081567325,0.042177343209939946,21
3000,0,0,0,1,0,50.625,160.25,0.019487940252004534,0.0562497400333146,0.052,50.14999999999999,51.1,75.75,84.5,0.037834122188199946,0.013372546273272726,0.03820929038377055,0.033458211567401544,22
3000,0,5,0,0,1,50.90833333333333,160.75,0.05258022558843978,0.08868697148083642,0.019666666666666666,53.98333333333334,47.833333333333336,83.25,77.5,0.05368336350948574,0.04961554242562873,0.10586230747899379,0.07030942887625832,23
3000,0,4,0,0,1,51.975,160.25,0.06501714117143767,0.0742883729059001,0.011333333333333334,53.800000000000004,50.14999999999999,85.5,74.5,0.058231365787980965,0.1735895473067449,0.021404238068499403,0.12382255314615545,24
3000,0,2,0,0,1,46.891666666666666,159.5,0.04201053984852418,0.05217372521330361,0.037,45.56666666666666,48.21666666666667,77.5,81.5,0.05037014083146332,0.03318651658875511,0.037058713989401484,0.05362724889433376,25
3000,0,2,0,0,1,49.516666666666666,165.25,0.04502264541852263,0.06951087696722727,0.014666666666666666,48.583333333333336,50.449999999999996,86.25,79.0,0.02881608045267626,0.06122921038436901,0.08849966623132972,0.04945464685037615,26
3000,0,3,0,0,1,51.53333333333333,158.75,0.020096421761016385,0.06533158272868735,0.06133333333333333,53.1,49.96666666666666,77.0,81.75,0.025519362087286532,0.01859004944816357,0.06724044902307784,0.04352043383697758,27
