run_name,_step,eval/sap_mean,eval/draw_rate,eval/csi_sap_proxy,eval/n_episodes,eval/csi_proxy_n_ll,eval/sap_std,eval/win_rate,eval/loss_rate,eval/mecha_mean,_runtime,_timestamp,eval/csi_proxy_n_lw,wandb_run_id,created_at,condition,seed,lam_init,alpha,disc/swap_hinge_ll,disc/swap_hinge_lw,disc/bce_agent,disc/acc,disc/step,disc_update_skipped,loss/kl,gate/late_winning -> late_losing_shift,gate/late_losing -> late_winning_frac,gate/late_losing -> late_winning_shift,loss/clipped_surrogate,episode_steps,disc_health,disc/loss,iteration,r_style_mean,task_reward_sum,disc/gp_value,episode_sap,loss/lam,disc/acc_agent,disc_saturating,disc/bce_expert,disc/ess,loss/kl_term,disc/acc_expert,disc/swap_shift_ll,gate/late_winning -> late_losing_frac,disc/swap_shift_lw
MAGAIL-NC_seed0,224,26.447333333333333,0.34,-0.07087218545846077,50.0,10715.0,7.207542623298641,0.4,0.26,0.13445563020006737,9380.986433829,1788807006.822854,16899.0,lbaaj8bu,2026-09-07T16:13:45Z,MAGAIL-NC,0,1.0,0.131,0.00019181566312909126,9.21543687582016e-07,0.6086523532867432,0.7967479825019836,22.0,0.0,4.181319713592529,0.1452120691537857,0.9992686494392979,0.17364254593849182,0.007498657330870628,3000.0,healthy,1.2239487171173096,225.0,4.100799699813251e-08,0.0,0.11771499365568161,31.6,0.0,0.6747967600822449,1.0,0.4964248836040497,110.80309664237396,0.0,0.9186992049217224,0.17678844928741455,0.9217151848937845,0.17139659821987152
MAGAIL-NC_seed1,449,13.415999999999999,0.38,-0.0025848237476160663,50.0,15402.0,3.7855822390867284,0.28,0.34,0.1182280792434664,17743.934038006,1788815369.7566683,9812.0,2a8hkiqz,2026-09-07T16:13:45Z,MAGAIL-NC,1,1.0,0.131,8.448027074337006e-05,0.0001073470339179039,0.5878222584724426,0.78515625,45.0,0.0,7.284437656402588,0.14970509707927704,0.9978059483178937,0.18106092512607574,0.008263052441179752,3000.0,healthy,1.2661635875701904,450.0,-2.686182654088043e-08,-4.0,0.12134944647550583,22.733333333333334,0.0,0.703125,1.0,0.5558408498764038,106.90872476776055,0.0,0.8671875,0.1873297244310379,0.9311565696302124,0.17708271741867065
MAGAIL-NC_seed2,149,41.97866666666666,0.38,-0.13504759766484875,50.0,7775.0,8.57084142115969,0.44,0.18,0.1418464582314864,6500.078881012,1788804126.005548,16842.0,39oe3g0r,2026-09-07T16:13:45Z,MAGAIL-NC,2,1.0,0.131,0.0,0.00014235777780413628,0.6028662919998169,0.8125,15.0,0.0,2.624896764755249,0.14181110262870789,1.0,0.17258396744728088,0.009564422070980072,3000.0,healthy,1.2075719833374023,150.0,2.479553273815327e-08,-4.0,0.12792105972766876,36.3,0.0,0.6953125,1.0,0.47593042254447937,106.90872476776055,0.0,0.9296875,0.1772548258304596,0.9130605822187254,0.17052733898162842
MAGAIL-NC_seed3,374,26.668666666666674,0.36,-0.05240956284650522,50.0,9784.0,6.2354342626993065,0.42,0.22,0.13757254315405307,14694.570684451,1788812320.505999,20566.0,fqwpib1r,2026-09-07T16:13:45Z,MAGAIL-NC,3,1.0,0.131,0.000558741157874465,0.0,0.5679379105567932,0.8046875,37.0,0.0,5.5185418128967285,0.15076367557048798,0.9978059483178937,0.18018482625484467,0.008121064864099026,3000.0,healthy,1.2488218545913696,375.0,-3.226598010996895e-08,0.0,0.1256180703639984,25.266666666666666,0.0,0.75,1.0,0.5519134402275085,106.90872476776055,0.0,0.859375,0.1804209053516388,0.9343036978756885,0.18312934041023254
MAGAIL-NC_seed4,149,45.23733333333334,0.4,0.11763961623262414,50.0,6851.0,7.469769117360098,0.44,0.16,0.14911480140204939,6403.128628168,1788804028.9474092,14709.0,r699iyus,2026-09-07T16:13:45Z,MAGAIL-NC,4,1.0,0.131,0.0,0.00014893896877765656,0.5779352784156799,0.84765625,15.0,0.0,3.4707090854644775,0.14033406972885132,1.0,0.17142322659492493,0.008201365359127522,3000.0,saturating,1.1827412843704224,150.0,8.265176987265477e-09,0.0,0.12911851704120636,51.233333333333334,0.0,0.734375,1.0,0.4747938811779022,106.90872476776055,0.0,0.9609375,0.17569947242736816,0.911093627065303,0.16873937845230103
MAGAIL-SC_seed0,524,21.59466666666667,0.4,0.04588858629101525,50.0,7262.0,4.501655794137186,0.42,0.18,0.12220521975906212,20753.718535864,1788818379.5746036,18204.0,sotcaqlx,2026-09-07T16:13:45Z,MAGAIL-SC,0,1.0,0.131,0.0009837774559855461,0.0,0.6066679358482361,0.765625,52.0,0.0,6.831265449523926,0.1485849916934967,0.9975621647976597,0.17980878055095673,0.006120166275650263,3000.0,healthy,1.2962288856506348,525.0,-4.529952857268427e-09,4.0,0.1222185418009758,12.066666666666666,0.0,0.640625,1.0,0.5614397525787354,106.90872476776055,0.0,0.890625,0.18247969448566437,0.9299763965381589,0.1761673092842102
MAGAIL-SC_seed1,224,42.050666666666665,0.32,-0.040804055362261116,50.0,13892.0,4.19941921910373,0.38,0.3,0.1343558578899724,9655.077386425,1788807280.8158998,17486.0,h9do32m5,2026-09-07T16:13:45Z,MAGAIL-SC,1,1.0,0.131,0.0001801038160920143,0.0,0.5660021305084229,0.84375,22.0,0.0,4.46500825881958,0.1437797099351883,1.0,0.17236512899398804,0.008774804882705212,3000.0,healthy,1.1993671655654907,225.0,2.6305515987701256e-08,-4.0,0.14172478020191193,42.46666666666667,0.0,0.765625,1.0,0.4905596375465393,106.90872476776055,0.0,0.921875,0.17556388676166534,0.9193548387096774,0.1698489785194397
MAGAIL-SC_seed2,524,25.82266666666667,0.26,-0.04782480495585678,50.0,9027.0,4.183791156886831,0.54,0.2,0.12274821999988983,20498.28883456,1788818124.107751,22495.0,6c8a5vuu,2026-09-07T16:13:45Z,MAGAIL-SC,2,1.0,0.131,2.4943146854639053e-05,7.706694304943085e-07,0.43786755204200745,0.9708333015441895,1.0,0.0,9.038434028625488,0.13968120515346527,1.0,0.17319244146347046,0.005123611073940992,3000.0,saturating,1.0477949380874634,525.0,1.6212464259979242e-08,0.0,0.14614997804164886,27.766666666666666,0.0,0.9833333492279053,1.0,0.4636231064796448,100.55031846506904,0.0,0.9583333134651184,0.18099689483642578,0.9154209284028324,0.16775529086589813
MAGAIL-SC_seed3,149,52.66533333333333,0.5,-0.06733387228560439,50.0,15285.0,11.264116003190546,0.12,0.38,0.16307080597150495,6590.595084346,1788804216.3739913,4994.0,cswjhrgu,2026-09-07T16:13:45Z,MAGAIL-SC,3,1.0,0.131,0.0,0.0001401868648827076,0.5485011339187622,0.8708333373069763,15.0,0.0,2.400888681411743,0.14037248492240906,1.0,0.17167042195796967,0.007637915201485157,3000.0,saturating,1.1631804704666138,150.0,-4.1643779979949613e-08,4.0,0.1422213315963745,54.63333333333333,0.0,0.7916666865348816,1.0,0.4716168940067291,100.55031846506904,0.0,0.949999988079071,0.17591409385204315,0.912667191188041,0.16857799887657166
MAGAIL-SC_seed4,224,46.37266666666667,0.32,-0.11343406759644842,50.0,9864.0,6.518144555350428,0.44,0.24,0.13268975256004076,9479.337985365,1788807105.4602866,19153.0,a2jp8379,2026-09-07T16:13:45Z,MAGAIL-SC,4,1.0,0.131,0.00012795068323612213,8.80146399140358e-06,0.5741143226623535,0.84375,22.0,0.0,5.110611915588379,0.14153790473937988,0.999756216479766,0.1717960238456726,0.007065178360790014,3000.0,saturating,1.1968790292739868,225.0,-1.017252593271678e-08,8.0,0.1336805820465088,32.36666666666667,0.0,0.765625,1.0,0.4882635474205017,106.90872476776055,0.0,0.921875,0.17497505247592926,0.9130605822187254,0.16779586672782898
