context_label,episode_id,step,t_norm,delta_score,sprint_bits,position,possession
early_neutral,4,10,0.9966677774075309,0,[0],"[[-0.9437978863716125, -1.501785917845666e-09], [-0.05766301602125168, 0.04282066598534584], [-0.040441177785396576, -0.04065071418881416], [-0.10003715008497238, -0.10672799497842789], [-0.11819170415401459, 0.12658628821372986]]",False
early_neutral,4,11,0.996334555148284,0,[0],"[[-0.9323297739028931, -1.5531337327345796e-09], [-0.06356874108314514, 0.047594744712114334], [-0.040441177785396576, -0.04065071418881416], [-0.099220871925354, -0.10421450436115265], [-0.12657298147678375, 0.12688225507736206]]",False
early_neutral,4,12,0.996001332889037,0,[0],"[[-0.9202682971954346, -1.9276289453529216e-09], [-0.06962757557630539, 0.052951227873563766], [-0.040441177785396576, -0.04065071418881416], [-0.0986117422580719, -0.1006605327129364], [-0.13577111065387726, 0.12670354545116425]]",False
early_neutral,4,13,0.9956681106297901,0,[0],"[[-0.9076964855194092, -2.5789008706311733e-09], [-0.07538502663373947, 0.05855059623718262], [-0.040441177785396576, -0.04065071418881416], [-0.09812033176422119, -0.09614761918783188], [-0.1455991119146347, 0.12613536417484283]]",False
early_neutral,4,14,0.9953348883705432,0,[0],"[[-0.89472895860672, -2.8641535809725838e-09], [-0.08013461530208588, 0.06512951850891113], [-0.040441177785396576, -0.04065071418881416], [-0.09760437905788422, -0.09077928215265274], [-0.15622234344482422, 0.12523430585861206]]",False
early_neutral,4,15,0.9950016661112963,0,[0],"[[-0.8814587593078613, -3.642235180123521e-09], [-0.08400897681713104, 0.0715755894780159], [-0.040441177785396576, -0.04065071418881416], [-0.09708327054977417, -0.08477611839771271], [-0.16750864684581757, 0.12399455904960632]]",False
early_neutral,4,16,0.9946684438520493,0,[0],"[[-0.8679583072662354, -3.678775506443799e-09], [-0.08592838793992996, 0.07624658942222595], [-0.040441177785396576, -0.04065071418881416], [-0.09652010351419449, -0.07830701023340225], [-0.17933736741542816, 0.12234657257795334]]",False
early_neutral,4,17,0.9943352215928024,0,[0],"[[-0.8558979630470276, -3.774322632210669e-09], [-0.0863211527466774, 0.08040507882833481], [-0.040441177785396576, -0.04065071418881416], [-0.09590566158294678, -0.07131966948509216], [-0.1915045529603958, 0.12018250674009323]]",False
early_neutral,4,18,0.9940019993335555,0,[0],"[[-0.8456929922103882, -3.683360061401686e-09], [-0.0860147699713707, 0.0843457579612732], [-0.040441177785396576, -0.04065071418881416], [-0.09525998681783676, -0.06426115334033966], [-0.2038855105638504, 0.1175718903541565]]",False
early_neutral,4,19,0.9936687770743086,0,[0],"[[-0.8368481397628784, -3.159728700907749e-09], [-0.0852620005607605, 0.08873804658651352], [-0.040441177785396576, -0.04065071418881416], [-0.09454939514398575, -0.056810688227415085], [-0.2162821888923645, 0.11439257115125656]]",False
early_neutral,4,20,0.9933355548150616,0,[0],"[[-0.8321547508239746, -2.960338640889404e-09], [-0.08486232161521912, 0.09403292834758759], [-0.040441177785396576, -0.04065071418881416], [-0.09386993199586868, -0.04896112158894539], [-0.22850893437862396, 0.11057928949594498]]",False
early_neutral,4,21,0.9930023325558147,0,[0],"[[-0.8286219239234924, -1.340979565611633e-06], [-0.08500281721353531, 0.10002860426902771], [-0.040441177785396576, -0.04065071418881416], [-0.0935298278927803, -0.04076350852847099], [-0.24010100960731506, 0.10578261315822601]]",False
early_neutral,4,22,0.9926691102965678,0,[0],"[[-0.8278047442436218, -3.358272078912705e-05], [-0.0852927416563034, 0.1065511479973793], [-0.040441177785396576, -0.04065071418881416], [-0.09367412328720093, -0.03230016306042671], [-0.2510291039943695, 0.10021233558654785]]",False
