context_label,episode_id,step,t_norm,delta_score,sprint_bits,position,possession
early_neutral,1,10,0.9966677774075309,0,[0],"[[-0.9503564834594727, -6.708913861075416e-05], [2.0362018737785093e-09, -0.007944919168949127], [0.015605499967932701, -0.04425212740898132], [-0.062307655811309814, -0.12118633836507797], [-0.1186174526810646, 0.1335533708333969]]",True
early_neutral,1,11,0.996334555148284,0,[0],"[[-0.9392880797386169, -8.980960410553962e-05], [1.522457937497279e-09, -0.011451072059571743], [0.02107403241097927, -0.048910897225141525], [-0.06067591905593872, -0.1272493153810501], [-0.12209723889827728, 0.14007404446601868]]",True
early_neutral,1,12,0.996001332889037,0,[0],"[[-0.9275742173194885, -9.738510561874136e-05], [1.2111217584376277e-09, -0.013816938735544682], [0.026359789073467255, -0.05386361479759216], [-0.05976438522338867, -0.13394169509410858], [-0.12587550282478333, 0.1467091143131256]]",True
early_neutral,1,13,0.9956681106297901,0,[0],"[[-0.915294349193573, -9.769079042598605e-05], [1.1698859658793026e-09, -0.014131602831184864], [0.030669040977954865, -0.059203337877988815], [-0.05911306291818619, -0.14085254073143005], [-0.13009506464004517, 0.15368491411209106]]",True
early_neutral,1,14,0.9953348883705432,0,[0],"[[-0.9025516510009766, -9.17809666134417e-05], [-1.367133609164739e-05, -0.013668214902281761], [0.034012723714113235, -0.06480753421783447], [-0.058765675872564316, -0.14821825921535492], [-0.13467806577682495, 0.16099144518375397]]",True
early_neutral,1,15,0.9950016661112963,0,[0],"[[-0.889453113079071, -8.05842355475761e-05], [-7.680836279178038e-05, -0.013029041700065136], [0.03709922358393669, -0.07044105231761932], [-0.05871590971946716, -0.1560029536485672], [-0.1396414339542389, 0.16855406761169434]]",True
early_neutral,1,16,0.9946684438520493,0,[0],"[[-0.8760830163955688, -6.68791399220936e-05], [-0.00047247554175555706, -0.01233578473329544], [0.040093015879392624, -0.07609571516513824], [-0.05930624157190323, -0.16413329541683197], [-0.14494025707244873, 0.17630323767662048]]",True
early_neutral,1,17,0.9943352215928024,0,[0],"[[-0.8627017736434937, -5.100990165374242e-05], [-0.000827443553134799, -0.011692826636135578], [0.0422179214656353, -0.08011680841445923], [-0.06055815517902374, -0.17214325070381165], [-0.15048536658287048, 0.18419857323169708]]",False
early_neutral,1,18,0.9940019993335555,0,[0],"[[-0.8518023490905762, -3.714282865985297e-05], [-0.0007593631744384766, -0.01114221103489399], [0.04246332496404648, -0.08362263441085815], [-0.061848629266023636, -0.1776876449584961], [-0.1562173068523407, 0.19213658571243286]]",False
early_neutral,1,19,0.9936687770743086,0,[0],"[[-0.84182208776474, -2.352448609599378e-05], [-0.0006912765093147755, -0.010591590777039528], [0.041099291294813156, -0.08790908008813858], [-0.0603221133351326, -0.1807142049074173], [-0.16093678772449493, 0.1985454112291336]]",False
early_neutral,1,20,0.9933355548150616,0,[0],"[[-0.8336659669876099, -0.0010159473167732358], [-0.0006282978574745357, -0.010082266293466091], [0.039160892367362976, -0.09273683279752731], [-0.05541329085826874, -0.1826978623867035], [-0.1650375872850418, 0.20389793813228607]]",False
early_neutral,1,21,0.9930023325558147,0,[0],"[[-0.826989471912384, -0.004715660121291876], [-0.0011822734959423542, -0.009542139247059822], [0.03689996898174286, -0.09740864485502243], [-0.04902677610516548, -0.18458369374275208], [-0.16927513480186462, 0.2092050462961197]]",False
early_neutral,1,22,0.9926691102965678,0,[0],"[[-0.821009635925293, -0.009663466364145279], [-0.003896518610417843, -0.00803072564303875], [0.03467380255460739, -0.1013362929224968], [-0.04112670570611954, -0.18623238801956177], [-0.17372028529644012, 0.2144397348165512]]",False
